"txid","ordertxid","pair","aclass","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers","posttxid","posstatuscode","cprice","ccost","cfee","cvol","cmargin","net","costusd","trades"
"TZWLHG-QSZ54-WXEUV2","O2UWBF-IHZ4Q-PJQBXY","ETH/USD","forex","2024-09-23 00:52:28.576","sell","limit",2598.34000,5.19668,0.01299,0.00200000,0.00000,"","LBY5VZ-WFWW2-4ZAZPP,LIOBGA-23QBE-M5SGPM","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.19668,""
"TE46UZ-6T6BV-F5PNDM","OBJLBT-TOS5H-QE7SMQ","ETH/USD","forex","2024-09-23 00:53:00.9104","sell","limit",2607.28000,5.21456,0.01304,0.00200000,0.00000,"","LOHWUH-DETAW-FHXYTC,LYWLVE-RI3CA-NMWYFN","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.21456,""
"TMYVUV-ROKQ3-S2WIUK","OOAFQF-OSD4W-5FIR34","ADA/USD","forex","2024-09-23 00:54:36.1923","sell","limit",0.352630,7.052600,0.017632,20.00000000,0.000000,"","LM2K5B-DE77T-JWFYGT,LBQAJI-3X54F-RVSDVI","TKH2SE-M7IF5-CFI7LT","","","","","","","",7.052600,""
"TZBU4C-TIENR-T6RYHE","O2PCQY-RHSNO-AYPVT2","BTC/USD","forex","2024-09-23 01:07:04.1042","sell","limit",63783.00000,6.37830,0.01595,0.00010000,0.00000,"","L5MWEY-J75PL-KIKJ5G,L3XWBX-3WU4G-P326UZ","TKH2SE-M7IF5-CFI7LT","","","","","","","",6.37830,""
"TWBO4F-NQAPF-MKI5UF","OJANLV-YJFG4-KR4UZG","ADA/USD","forex","2024-09-23 01:08:18.6351","sell","limit",0.353550,7.071000,0.017678,20.00000000,0.000000,"","LMAFAX-HTFIY-ABOZ7W,LROK5A-PQHIA-LQHNHP","TKH2SE-M7IF5-CFI7LT","","","","","","","",7.071000,""
"THFW2E-RMITR-HS2OMJ","OUU3FA-HTWL4-CJMF5O","SOL/USD","forex","2024-09-23 01:31:13.3445","sell","limit",147.16000,5.88640,0.01472,0.04000000,0.00000,"","LTXCUB-4D4MJ-UL2QH5,L3FPNB-RF6HN-JPR64M","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.88640,""
"TM6VKO-4QJ2J-DHO6BO","O43D3M-MV4Z6-6ONACV","SOL/USD","forex","2024-09-23 02:04:07.5931","buy","limit",146.33000,5.85320,0.01463,0.04000000,0.00000,"","LF7GQC-R6HZX-RPJIHD,LVBGZD-7JH4C-3GYO4S","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.85320,""
"TPZCJA-DSUN5-QLJ7LM","OAEBDG-WRXA5-6F2FPC","ETH/USD","forex","2024-09-23 02:38:20.6797","sell","limit",2639.84000,5.27968,0.01320,0.00200000,0.00000,"","LYP64S-5YWMV-QOVUHH,L34DUX-LGR6S-SG5JFR","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.27968,""
"TER4EK-DDZHP-P2DHFU","OEKQWE-FXY4K-YHVWWD","ADA/USD","forex","2024-09-23 03:09:15.9017","sell","limit",0.355410,7.108200,0.017771,20.00000000,0.000000,"","LNQ6DG-HN6QS-AJGFD3,LQHSIL-MJTZZ-Q4MI2L","TKH2SE-M7IF5-CFI7LT","","","","","","","",7.108200,""
"TFGHIV-IFZSG-GXGKFM","OC4TOP-GCOSA-4NBC7B","SOL/USD","forex","2024-09-23 03:09:31.305","sell","limit",147.47000,5.89880,0.01475,0.04000000,0.00000,"","LT56YX-PCFD4-MBPDX7,LDLBLU-JAOJB-I6ZHAC","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.89880,""
